Patch;MatchName;MatchId;SummonerName;championName
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;AEG Ryuzaki;XinZhao
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;AEG Nafkelah;Hwei
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;AEG Hid0;Aphelios
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;AEG Veignorem;Rell
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;Z10 Color;Poppy
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;DP Lotuss;Nidalee
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;Odi11;Ziggs
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;MCK Click;Senna
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;Nano;Tristana
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;Z10 Color;KSante
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;DP Lotuss;Rell
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;Odi11;Ziggs
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;MCK Click;Bard
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;Nano;Yone
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;AEG Agresivoo;Gnar
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;AEG Ryuzaki;Maokai
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;AEG Nafkelah;Leblanc
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;AEG Hid0;Xayah
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;AEG Veignorem;Rakan
14.1.547.8890;LOLTMNT99_117100;scrim| game2mck;AEG Agresivoo;Jayce
14.1.547.8890;LOLTMNT99_117100;scrim| game2mck;AEG Ryuzaki;Vi
14.1.547.8890;LOLTMNT99_117100;scrim| game2mck;AEG Nafkelah;Orianna
